Scheduling Coefficient
Report produced on 2023-08-07 for period: 01-May - 19-May 2023 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
17-32,215,230,161846.644,19:10:33,23:31:28,0.713
33-64,126,129,198748.634,18:44:16,14:58:44,0.753
65-128,48,48,132831.576,17:19:01,9:27:46,0.754
129-256,22,22,163669.412,20:58:56,22:18:52,0.799
257-512,6,7,87088.5,17:43:30,69:37:37,0.468
513-1024,1,4,79438.152,16:57:38,148:36:05,0.11
1025-2048,1,1,35813.122,18:10:36,36:26:36,0.333
,3991,4254,1293034.388,0:00:00,0:00:00,0

Runtime: 24- Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,938,970,40142.781,27:18:20,5:27:18,0.878
2,746,788,65610.41,27:28:05,8:47:26,0.876
3-4,581,615,96675.838,27:40:39,4:37:04,0.913
5-8,441,481,161163.573,29:17:38,14:53:54,0.806
9-16,276,297,174920.23,30:24:29,16:39:24,0.752
17-32,165,180,219478.685,32:00:15,16:47:36,0.78
33-64,95,108,278064.472,31:26:27,32:15:15,0.71
65-128,11,11,39581.912,24:00:13,15:14:42,0.771
129-256,2,3,19571.679,24:00:10,68:07:28,0.462
257-512,1,1,18629.081,24:00:25,1:14:54,0.951
,3256,3454,1113838.663,0:00:00,0:00:00,0


