Scheduling Coefficient
Report produced on 2024-09-01 for period: Aug 2024 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
257-512,1,1,4548.905,6:00:10,0:12:56,0.965
513-1024,1,3,31572.168,8:02:23,269:31:55,0.03
1025-2048,1,1,15742.385,6:24:42,16:07:16,0.284
,7262,7444,426294.325,0:00:00,0:00:00,0

Runtime: 12-24 Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,4087,4275,122329.296,18:52:49,9:11:07,0.801
2,895,927,49025.746,17:26:50,4:27:26,0.932
3-4,722,761,82493.356,18:04:34,31:33:39,0.799
5-8,738,761,149601.154,18:41:44,13:33:38,0.793
9-16,565,584,217256.142,18:44:53,16:07:57,0.77
17-32,234,250,181279.365,19:32:22,41:13:19,0.738
33-64,151,156,205143.68,18:18:50,24:57:36,0.682
65-128,83,82,222791.129,19:13:42,33:29:02,0.66
129-256,9,10,59242.467,21:26:40,116:24:10,0.42
257-512,4,5,38438.045,17:11:18,0:55:33,0.951
513-1024,3,3,71784.85,15:25:04,4:40:01,0.771
1025-2048,1,1,37270.665,12:00:27,6:25:00,0.652
,7492,7815,1436655.895,0:00:00,0:00:00,0

Runtime: 24- Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,2141,2292,104577.379,30:06:17,10:50:42,0.823
2,844,891,93042.462,34:26:59,14:18:21,0.859
3-4,1454,1507,251200.725,28:33:29,20:20:39,0.736
5-8,1039,1103,372948.505,32:22:44,17:43:08,0.823
9-16,685,755,521206.726,39:24:34,14:04:26,0.849
17-32,303,317,398103.351,34:23:47,14:32:09,0.845
33-64,207,223,473431.141,30:09:03,27:04:27,0.766
65-128,42,47,170739.733,24:00:17,35:17:57,0.733
129-256,11,12,84770.226,24:00:18,67:29:56,0.36
257-512,2,3,44818.507,24:00:10,124:23:26,0.402
513-1024,1,2,59219.248,24:00:02,212:56:33,0.106
1025-2048,1,1,74503.392,24:00:10,92:11:47,0.207
,6730,7153,2648561.397,0:00:00,0:00:00,0


