Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Quantum Espresso,1,4.0,5.0,8.0,32,3207,28382.2,0.6,11409.3,0.7,14,3
ChemShell,1,4.0,16.0,36.0,36,257,27785.6,0.6,9777.8,0.6,7,2
HYDRA,1,10.0,100.0,100.0,100,292,25575.2,0.6,8770.4,0.5,9,6
RMT,1,19.0,19.0,19.0,19,411,25011.6,0.6,8773.6,0.5,4,1
GENE,1,32.0,32.0,40.0,64,277,24643.5,0.5,10339.4,0.6,7,2
TPLS,1,64.0,64.0,72.0,72,55,20618.8,0.5,6902.3,0.4,3,1
SBLI,1,128.0,128.0,128.0,1024,102,18121.3,0.4,6744.5,0.4,5,3
OpenSBLI,2,128.0,128.0,128.0,1024,26,18091.8,0.4,6735.4,0.4,4,2
NEMO,1,10.0,37.0,47.0,87,1138,17963.0,0.4,5683.6,0.3,24,3
NWChem,1,3.0,3.0,3.0,12,588,17356.9,0.4,6064.4,0.3,12,5
a.out,1,64.0,64.0,64.0,160,910,17165.3,0.4,6280.3,0.4,13,8
NAMD,1,4.0,4.0,4.0,5,607,15922.6,0.4,8182.1,0.5,5,3
SPARTA,8,120.0,120.0,120.0,180,30,12773.8,0.3,4137.1,0.2,1,1
CRYSTAL,1,50.0,100.0,100.0,100,238,12609.6,0.3,3182.1,0.2,5,2
ONETEP,1,6.0,8.0,10.0,16,155,12196.0,0.3,3772.4,0.2,7,1
SIESTA,1,18.0,18.0,40.0,72,319,10209.4,0.2,3829.9,0.2,5,3
Hydro3D,2,17.0,342.0,411.0,838,27,8718.0,0.2,2999.2,0.2,3,2
EPOCH,1,4.0,4.0,20.0,64,274,5721.0,0.1,2202.2,0.1,7,1
OSIRIS,96,96.0,96.0,96.0,96,6,5333.5,0.1,1879.0,0.1,1,1
CESM,1,10.0,10.0,10.0,15,104,5207.2,0.1,1992.7,0.1,6,1
PDNS3D,8,128.0,128.0,128.0,128,47,4862.0,0.1,1846.6,0.1,2,1
Smilei,2,16.0,32.0,32.0,64,422,4512.6,0.1,1386.8,0.1,5,1
ptau3d,2,20.0,40.0,40.0,40,14,1669.5,0.0,601.9,0.0,2,2
WRF,3,8.0,8.0,8.0,8,68,1554.1,0.0,403.7,0.0,2,1
CASINO,1,1.0,1.0,2.0,2,64,1041.1,0.0,418.9,0.0,1,1
SPECFEM3D,1,40.0,40.0,40.0,200,44,646.8,0.0,244.9,0.0,1,1
SU2,1,2.0,2.0,2.0,10,69,633.5,0.0,248.6,0.0,3,2
ABINIT,1,8.0,8.0,8.0,16,153,570.2,0.0,183.6,0.0,1,1
GS2,1,13.0,13.0,24.0,24,147,477.8,0.0,166.4,0.0,3,2
ECOGEN,2,2.0,2.0,2.0,2,11,118.0,0.0,37.1,0.0,1,1
AxiSEM3D,1,1.0,1.0,1.0,1,286,107.8,0.0,36.9,0.0,1,1
Arm Forge,1,1.0,1.0,1.0,4,260,31.9,0.0,5.5,0.0,8,8
FEniCS,1,1.0,4.0,16.0,16,130,22.3,0.0,8.2,0.0,1,1
DL_POLY,1,1.0,1.0,1.0,1,8,20.7,0.0,7.2,0.0,1,1
ludwig,8,32.0,32.0,32.0,32,8,20.4,0.0,7.6,0.0,1,1
Elk,1,1.0,1.0,1.0,1,5,14.5,0.0,3.6,0.0,1,1
HemeLB,1,1.0,1.0,1.0,6,97,5.5,0.0,2.4,0.0,3,3
GPAW,1,1.0,1.0,1.0,1,6,2.2,0.0,0.9,0.0,1,1
PeleLMeX,1,1.0,1.0,1.0,1,4,0.0,0.0,0.0,0.0,1,1
