Scheduling Coefficient
Report produced on 2023-05-08 for period: Mar 2023 .
Usage broken down by job size. Coefficient is [runtime / (waittime+runtime)] - fraction of job lifetime spent doing work.
Low Priority jobs are excluded from the analysis
All Jobs
Resource Pool,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
513-1024,2,1,5676.346,3:39:27,16:27:11,0.182
2049-4096,1,1,31089.496,5:00:29,29:11:20,0.146
,12441,12333,592833.233,0:00:00,0:00:00,0

Runtime: 6-12 Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,3713,3729,45683.022,8:04:59,7:26:48,0.713
2,1330,1274,31833.742,8:14:36,14:18:17,0.575
3-4,1257,1298,61303.206,8:03:27,10:55:36,0.616
5-8,975,941,84068.723,8:36:11,12:14:48,0.687
9-16,364,363,57681.17,8:21:38,9:18:05,0.739
17-32,312,325,88494.435,8:30:12,27:07:49,0.598
33-64,104,97,70254.125,8:09:01,20:54:29,0.733
65-128,27,27,33656.599,8:45:06,22:19:33,0.672
129-256,23,21,68138.71,9:31:58,26:57:47,0.455
257-512,8,7,30696.5,7:22:08,80:56:10,0.217
513-1024,8,8,85985.672,7:38:11,44:32:48,0.248
,8121,8090,657795.905,0:00:00,0:00:00,0

Runtime: 12-24 Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,3662,3707,105354.362,18:45:06,9:28:45,0.774
2,1130,1037,54502.438,17:20:20,12:00:07,0.776
3-4,950,987,108417.145,18:38:40,14:19:29,0.761
5-8,1052,1068,211208.212,18:51:48,12:13:43,0.785
9-16,624,617,210091.131,18:04:07,11:04:29,0.781
17-32,297,303,204907.055,18:07:27,27:29:25,0.741
33-64,137,131,184963.711,18:02:27,18:24:29,0.756
65-128,27,29,99383.304,20:20:13,31:17:00,0.721
129-256,35,35,232868.252,19:23:17,33:45:14,0.667
257-512,13,13,145979.703,18:47:29,22:58:22,0.678
1025-2048,1,1,37270.665,12:00:27,4:21:45,0.734
,7928,7928,1594945.978,0:00:00,0:00:00,0

Runtime: 24- Hours
Nodes,Jobs Submitted,Jobs Run,Raw Usage / kAUs,Average Run Time / h,Average Wait Time / h,Scheduling Coefficient
1,1653,1622,71847.352,29:13:35,8:07:46,0.841
2,1089,1095,96521.196,29:04:47,12:59:00,0.787
3-4,976,1076,167768.243,27:40:43,20:42:43,0.752
5-8,851,797,273014.832,31:07:58,20:55:31,0.787
9-16,548,585,322361.651,28:36:55,21:38:32,0.785
17-32,221,223,217944.682,26:39:51,35:13:54,0.651
33-64,225,229,469091.897,31:16:28,29:57:17,0.688
65-128,35,31,105794.787,24:00:14,58:00:31,0.487
129-256,10,10,62395.055,24:00:18,49:04:13,0.579
257-512,16,18,318995.238,24:00:17,58:23:13,0.37
513-1024,4,3,71301.552,24:00:10,25:43:24,0.658
,5628,5689,2177036.485,0:00:00,0:00:00,0


